TUM Study Programs
Source: portfolio page
Found: 352 programs
Date: scan output — use Ctrl+F to find programs of interest
========================================================================================================================

    ID  Title
------------------------------------------------------------------------------------------------------------------------
  4941  &nbsp;
  5342  16 429 Entwicklung, Produktion und Management im Maschinenbau (20241, Masterstudium, laufend)
  5178  16 436 Materials Science and Engineering (20221, Masterstudium, laufend)
  5344  16 437 Aerospace (20241, Masterstudium, laufend)
  5341  16 438 Automotive Engineering (20241, Masterstudium, laufend)
  4824  16 439 Mechatronik und Robotik (20191, Masterstudium, laufend)
  4833  16 442 Science and Technology of Materials (20191, Masterstudium, laufend)
  5340  16 443 Energie- und Prozesstechnik (20241, Masterstudium, laufend)
  5209  16 446 Aerospace Engineering (GIST TUM Asia) (20231, Masterstudium, laufend)
  5026  16 458 Information Technologies for the Built Environment (20221, Masterstudium, laufend)
  5027  16 459 Environmental Engineering (20221, Masterstudium, laufend)
  5185  16 460 Mechatronics, Robotics, and Biomechanical Engineering (20231, Masterstudium, laufend)
  5222  16 461 Medizintechnik (20241, Masterstudium, laufend)
  5382  16 500 Elektrotechnik und Informationstechnik (20251, Masterstudium, laufend)
  5029  16 512 Power Engineering (20221, Masterstudium, laufend)
  5136  16 521 Communications and Electronics Engineering (20231, Masterstudium, laufend)
  5372  16 522 Microelectronics and Chip Design (20251, Masterstudium, laufend)
  5023  16 709 Agrarsystemwissenschaften (20221, Masterstudium, laufend)
  5146  16 710 Ingenieurökologie (20231, Masterstudium, laufend)
  5184  16 716 Ingenieurökologie (50%) (20231, Masterstudium, laufend)
  5147  16 717 Ingenieurökologie (66%) (20231, Masterstudium, laufend)
  5276  16 718 Agricultural Biosciences (20241, Masterstudium, laufend)
  4869  16 719 Horticultural Science (20191, Masterstudium, laufend)
  5252  16 728 Sustainable Food (GIST TUM Asia) (20241, Masterstudium, laufend)
  5094  16 749 Forst- und Holzwissenschaft (Teilzeit, 66%)  (20221, Masterstudium, laufend)
  5024  16 751 Forst- und Holzwissenschaft (20221, Masterstudium, laufend)
  5345  16 754 Sustainable Resource Management (20241, Masterstudium, laufend)
  5144  16 755 Naturschutz und Landschaftsplanung (20231, Masterstudium, laufend)
  5183  16 756 Naturschutz und Landschaftsplanung (50%) (20231, Masterstudium, laufend)
  5145  16 757 Naturschutz und Landschaftsplanung (66%) (20231, Masterstudium, laufend)
  5384  16 762 Nutrition and Biomedicine (20251, Masterstudium, laufend)
  5392  16 766 Consumer Science (20251, Masterstudium, laufend)
  5030  16 798 Pharmazeutische Bioprozesstechnik (20221, Masterstudium, laufend)
  5031  16 800 Brauwesen und Getränketechnologie (20221, Masterstudium, laufend)
  5142  16 831 Molekulare Biotechnologie (20231, Masterstudium, laufend)
  5078  16 832 Lebensmitteltechnologie (20221, Masterstudium, laufend)
  5107  16 907 Radiation Biology (20221, Masterstudium, laufend)
  2909  16 960 Social Science of Technology (10402, Masterstudium, laufend)
  5247  17 010 Mathematik (20231, Bachelorstudium, laufend)
  5371  17 030 Informatik (20241, Bachelorstudium, laufend)
  5218  17 034 Informatik: Games Engineering (20231, Bachelorstudium, laufend)
  5028  17 042 Bioinformatik (20211, Bachelorstudium, laufend)
  4999  17 043 Wirtschaftsinformatik (20211, Bachelorstudium, laufend)
  5405  17 051 Physik (20251, Bachelorstudium, laufend)
  5002  17 100 Chemie (20221, Bachelorstudium, laufend)
  5187  17 105 Biochemie (20231, Bachelorstudium, laufend)
  5235  17 111 Chemische Biotechnologie (20231, Bachelorstudium, laufend)
  5139  17 113 Life Sciences Biologie (20231, Bachelorstudium, laufend)
  4953  17 120 Information Engineering (20211, Bachelorstudium, laufend)
  2587  17 139 Geowissenschaften (0, Bachelorstudium, laufend)
  5003  17 160 Lebensmittelchemie (20221, Bachelorstudium, laufend)
  5365  17 202 Gesundheitswissenschaft (20241, Bachelorstudium, laufend)
  5424  17 243 Sustainable Engineering for Materials and Processes (20251, Bachelorstudium, laufend)
  4954  17 246 Sustainable Management and Technology (20211, Bachelorstudium, laufend)
  5407  17 262 Politikwissenschaft (20251, Bachelorstudium, laufend)
  5406  17 263 Politikwissenschaft (Teilzeit, 66%) (20251, Bachelorstudium, laufend)
  5194  17 274 Management and Technology (20231, Bachelorstudium, laufend)
  5250  17 278 Management and Data Science (Heilbronn) (20241, Bachelorstudium, laufend)
  5366  17 287 Sportwissenschaft (20241, Bachelorstudium, laufend)
  5346  17 310 Bauingenieurwesen (20241, Bachelorstudium, laufend)
  4767  17 317 Bodenordnung und Landentwicklung (20181, Bachelorstudium, laufend)
  5355  17 400 Maschinenwesen (20241, Bachelorstudium, laufend)
  2805  17 410 Ingenieurwissenschaften Kooperation PLUS (0, Bachelorstudium, laufend)
  5383  17 415 Chemie-Ingenieurwesen (20251, Bachelorstudium, laufend)
  5421  17 437 Aerospace (20251, Bachelorstudium, laufend)
  5347  17 457 Umweltingenieurwesen (20241, Bachelorstudium, laufend)
  5223  17 462 Ingenieur- und Werkstoffwissenschaften Kooperation PLUS (20241, Bachelorstudium, laufend)
  5135  17 500 Elektrotechnik und Informationstechnik (20231, Bachelorstudium, laufend)
  5248  17 723 Agrarwissenschaften und Gartenbauwissenschaften (20241, Bachelorstudium, laufend)
  5143  17 746 Landschaftsarchitektur und Landschaftsplanung (20231, Bachelorstudium, laufend)
  5138  17 753 Forstwissenschaft und Ressourcenmanagement (20231, Bachelorstudium, laufend)
  5086  17 798 Pharmazeutische Bioprozesstechnik (20221, Bachelorstudium, laufend)
  5084  17 800 Brauwesen und Getränketechnologie (20221, Bachelorstudium, laufend)
  5141  17 831 Molekulare Biotechnologie (20231, Bachelorstudium, laufend)
  5085  17 832 Lebensmitteltechnologie (20221, Bachelorstudium, laufend)
  5408  17 983 Bioeconomy (20251, Bachelorstudium, laufend)
  4956  17 993 Bioökonomie (20211, Bachelorstudium, laufend)
  4582  18 252 Executive Master of Business Administration (MBA) (20151, Masterstudium, laufend)
  4491  18 259 Executive Master of Business Administration in Business & IT (20151, Masterstudium, laufend)
  5099  18 276 Executive Master of Business Administration in Innovation & Business Creation (20221, Masterstudium, laufend)
  5202  19 190 Ernährungs- und Hauswirtschaftswissenschaft (20231, Bachelorstudium, laufend)
  5380  19 201 Gesundheits- und Pflegewissenschaft (20241, Bachelorstudium, laufend)
  5422  19 320 Bautechnik (20251, Bachelorstudium, laufend)
  5204  19 421 Metalltechnik (20231, Bachelorstudium, laufend)
  5201  19 501 Elektrotechnik und Informationstechnik (20231, Bachelorstudium, laufend)
  5381  19 700 Agrarwirtschaft (20241, Bachelorstudium, laufend)
  4315  20 310 Bauingenieurwesen (20121, Honours Master Studiengang, laufend)
  4937  21 006 Didaktikfach Sport (20201, Studium mit staatlicher Prüfung, laufend)
  5413  21 007 1. Fach an der LMU (20241, Studium mit staatlicher Prüfung, laufend)
  5419  23 007 1. Fach an der LMU (20241, Studium mit staatlicher Prüfung, laufend)
  4942  24 003 Didaktikfach Beruf und Wirtschaft (20201, Studium mit staatlicher Prüfung, laufend)
  4938  24 006 Didaktikfach Sport (20201, Studium mit staatlicher Prüfung, laufend)
  4939  24 007 1. Fach an der LMU (20201, Studium mit staatlicher Prüfung, laufend)
  5417  24 007, 290 1. Fach an der LMU; Sport,   (20241, Studium mit staatlicher Prüfung, laufend)
  5415  25 007 1. Fach an der LMU (20241, Studium mit staatlicher Prüfung, laufend)
  4625  28 010 Mathematik (20161, Elite-Masterstudium, laufend)
  5101  28 064 Computational Science and Engineering (Honours Track)	 (20211, Elite-Masterstudium, laufend)
